N_W_m,N_L_m,P_W_m,P_L_m,VCM,VON,VGN,VGP,NFmin_dB,NF_dB,Rn,SOpt_real,SOpt_imag,N_W_um,N_L_um,P_W_um,P_L_um,Wp_over_Wn
2.2e-07,2.8e-07,2e-05,2.8e-07,0.9,0.465,1.365,0.435,0.0226511,13.3673,1035.51,0.999441,0.024768,0.22,0.28,20.0,0.28,90.9090909090909
1e-06,5e-07,2e-06,5e-07,0.9,0.595,1.495,0.305,0.0227819,20.8002,5961.57,0.99995,0.00340696,1.0,0.5,2.0,0.5,2.0
2.2e-07,3.6e-07,2e-06,2.8e-07,0.9,0.47,1.37,0.43,0.0230147,22.3044,8449.84,0.999966,0.00230298,0.22,0.36,2.0,0.28,9.09090909090909
1e-06,5e-07,6.6e-07,3.6e-07,0.9,0.575,1.475,0.325,0.0261629,24.099,12798.9,0.999975,0.00173398,1.0,0.5,0.66,0.36,0.66
2.2e-07,3.6e-07,1e-05,3.6e-07,0.9,0.53,1.43,0.37,0.0263253,17.1757,2559.32,0.999806,0.0122892,0.22,0.36,10.0,0.36,45.45454545454545
1e-06,2.8e-07,1e-05,2.8e-07,0.9,0.46,1.36,0.44,0.0274516,17.3434,2662.03,0.999791,0.0134094,1.0,0.28,10.0,0.28,10.000000000000002
5e-06,5e-07,2e-06,2.8e-07,0.9,0.55,1.45,0.35,0.0276397,18.8561,3792.14,0.999875,0.00907675,5.0,0.5,2.0,0.28,0.39999999999999997
1e-06,3.6e-07,1e-05,5e-07,0.9,0.555,1.455,0.345,0.0287674,17.6592,2866.57,0.999794,0.0134162,1.0,0.36,10.0,0.5,10.000000000000002
2.2e-07,3.6e-07,2e-05,5e-07,0.9,0.55,1.45,0.35,0.0289201,15.2098,1609.15,0.999486,0.0247914,0.22,0.36,20.0,0.5,90.9090909090909
2.2e-07,2.8e-07,1e-05,2.8e-07,0.9,0.445,1.345,0.455,0.0295278,18.3855,3397.52,0.999824,0.0123195,0.22,0.28,10.0,0.28,45.45454545454545
2.2e-07,5e-07,6.6e-07,3.6e-07,0.9,0.515,1.415,0.385,0.0302612,27.8477,30410.7,0.999988,0.000630997,0.22,0.5,0.66,0.36,3.0
2.2e-07,3.6e-07,6.6e-07,2.8e-07,0.9,0.445,1.345,0.455,0.0317485,28.3,33754.4,0.999989,0.000631087,0.22,0.36,0.66,0.28,3.0
2.2e-07,5e-07,2e-06,5e-07,0.9,0.55,1.45,0.35,0.0319178,24.9347,15525.3,0.999974,0.00230777,0.22,0.5,2.0,0.5,9.09090909090909
1e-06,3.6e-07,6.6e-07,2.8e-07,0.9,0.485,1.385,0.415,0.0330442,26.236,20966.7,0.99998,0.00173754,1.0,0.36,0.66,0.28,0.66
1e-06,5e-07,6.6e-07,5e-07,0.9,0.585,1.485,0.315,0.0355029,26.5811,22705.2,0.99998,0.00173617,1.0,0.5,0.66,0.5,0.66
2.2e-07,3.6e-07,1e-05,5e-07,0.9,0.53,1.43,0.37,0.0382792,20.403,5435.94,0.999843,0.0123298,0.22,0.36,10.0,0.5,45.45454545454545
1e-06,3.6e-07,2e-06,3.6e-07,0.9,0.515,1.415,0.385,0.0393212,25.4518,17494.9,0.999968,0.00341711,1.0,0.36,2.0,0.36,2.0
1e-06,2.8e-07,2e-05,3.6e-07,0.9,0.485,1.385,0.415,0.0412969,18.119,3191.9,0.999514,0.0259509,1.0,0.28,20.0,0.36,20.000000000000004
2.2e-07,5e-07,6.6e-07,5e-07,0.9,0.525,1.425,0.375,0.0439967,30.9207,61757.4,0.999992,0.000632725,0.22,0.5,0.66,0.5,3.0
2.2e-07,2.8e-07,2e-05,3.6e-07,0.9,0.48,1.38,0.42,0.0458969,19.1075,4020.59,0.99956,0.0248462,0.22,0.28,20.0,0.36,90.9090909090909
2.2e-07,3.6e-07,2e-06,3.6e-07,0.9,0.48,1.38,0.42,0.0464995,28.2495,33363.7,0.999981,0.00231428,0.22,0.36,2.0,0.36,9.09090909090909
5e-06,5e-07,6.6e-07,2.8e-07,0.9,0.545,1.445,0.355,0.0496275,24.6735,14616.2,0.999933,0.00742023,5.0,0.5,0.66,0.28,0.132
2.2e-07,2.8e-07,2e-06,2.8e-07,0.9,0.405,1.305,0.495,0.0507499,29.0507,40132.4,0.999983,0.00231502,0.22,0.28,2.0,0.28,9.09090909090909
1e-06,2.8e-07,2e-06,2.8e-07,0.9,0.425,1.325,0.475,0.0521732,27.9115,30861.1,0.999975,0.00342092,1.0,0.28,2.0,0.28,2.0
1e-06,2.8e-07,1e-05,3.6e-07,0.9,0.47,1.37,0.43,0.0551227,23.1838,10357.2,0.999848,0.0134537,1.0,0.28,10.0,0.36,10.000000000000002
1e-06,3.6e-07,2e-06,5e-07,0.9,0.525,1.425,0.375,0.0568058,28.4741,35136.6,0.999976,0.00342133,1.0,0.36,2.0,0.5,2.0
1e-06,2.8e-07,6.6e-07,2.8e-07,0.9,0.9,1.8,-4.44089e-16,0.059403,26.7024,23349.7,0.999966,0.00303409,1.0,0.28,0.66,0.28,0.66
1e-06,2.8e-07,6.6e-07,3.6e-07,0.9,0.9,1.8,-4.44089e-16,0.0600103,26.7902,23827.6,0.999965,0.00348345,1.0,0.28,0.66,0.36,0.66
1e-06,3.6e-07,6.6e-07,3.6e-07,0.9,0.505,1.405,0.395,0.0601427,31.0913,64233.4,0.999988,0.00174038,1.0,0.36,0.66,0.36,0.66
1e-06,2.8e-07,6.6e-07,5e-07,0.9,0.9,1.8,-4.44089e-16,0.0606509,26.8598,24213.3,0.999967,0.00283072,1.0,0.28,0.66,0.5,0.66
2.2e-07,2.8e-07,1e-05,3.6e-07,0.9,0.455,1.355,0.445,0.0607673,24.445,13864.1,0.999873,0.012357,0.22,0.28,10.0,0.36,45.45454545454545
1e-06,2.8e-07,2e-05,5e-07,0.9,0.495,1.395,0.405,0.0609254,21.2945,6685.17,0.999557,0.0259792,1.0,0.28,20.0,0.5,20.000000000000004
2.2e-07,3.6e-07,6.6e-07,3.6e-07,0.9,0.455,1.355,0.445,0.0636343,34.1765,130753.0,0.999994,0.000634859,0.22,0.36,0.66,0.36,3.0
2.2e-07,2.8e-07,2e-05,5e-07,0.9,0.485,1.385,0.415,0.0684795,22.483,8805.35,0.999601,0.0248859,0.22,0.28,20.0,0.5,90.9090909090909
2.2e-07,2.8e-07,6.6e-07,2.8e-07,0.9,0.38,1.28,0.52,0.0693549,34.9678,156898.0,0.999995,0.000635008,0.22,0.28,0.66,0.28,3.0
2.2e-07,3.6e-07,2e-06,5e-07,0.9,0.485,1.385,0.415,0.0697948,31.6973,73859.1,0.999986,0.00231879,0.22,0.36,2.0,0.5,9.09090909090909
5e-06,5e-07,6.6e-07,3.6e-07,0.9,0.57,1.47,0.33,0.0739166,27.7187,29519.0,0.999944,0.00741919,5.0,0.5,0.66,0.36,0.132
1e-06,2.8e-07,2e-06,3.6e-07,0.9,0.9,1.8,-4.44089e-16,0.075609,26.6284,22954.2,0.99994,0.00663111,1.0,0.28,2.0,0.36,2.0
2.2e-07,2.8e-07,6.6e-07,3.6e-07,0.9,0.9,1.8,-4.44089e-16,0.0756326,31.1019,64390.4,0.999985,0.00154403,0.22,0.28,0.66,0.36,3.0
2.2e-07,2.8e-07,6.6e-07,5e-07,0.9,0.89,1.79,0.01,0.0768004,31.3486,68157.5,0.999986,0.00171264,0.22,0.28,0.66,0.5,3.0
1e-06,2.8e-07,2e-06,5e-07,0.9,0.9,1.8,-4.44089e-16,0.0773812,26.8693,24266.2,0.999953,0.00459979,1.0,0.28,2.0,0.5,2.0
1e-06,2.8e-07,1e-05,5e-07,0.9,0.475,1.375,0.425,0.0809306,26.4336,21944.3,0.999867,0.0134709,1.0,0.28,10.0,0.5,10.000000000000002
1e-06,3.6e-07,6.6e-07,5e-07,0.9,0.515,1.415,0.385,0.0837001,33.8069,120082.0,0.99999,0.00174201,1.0,0.36,0.66,0.5,0.66
2.2e-07,2.8e-07,1e-05,5e-07,0.9,0.46,1.36,0.44,0.0908106,27.8501,30426.7,0.999889,0.0123715,0.22,0.28,10.0,0.5,45.45454545454545
5e-06,5e-07,6.6e-07,5e-07,0.9,0.585,1.485,0.315,0.0914837,29.3372,42872.9,0.999948,0.00741768,5.0,0.5,0.66,0.5,0.132
2.2e-07,3.6e-07,6.6e-07,5e-07,0.9,0.465,1.365,0.435,0.0941395,37.418,275862.0,0.999996,0.000635963,0.22,0.36,0.66,0.5,3.0
2.2e-07,2.8e-07,2e-06,3.6e-07,0.9,0.895,1.795,0.005,0.101296,30.487,55883.1,0.999968,0.00477379,0.22,0.28,2.0,0.36,9.09090909090909
2.2e-07,2.8e-07,2e-06,5e-07,0.9,0.855,1.755,0.045,0.104451,31.6071,72340.5,0.999974,0.00441782,0.22,0.28,2.0,0.5,9.09090909090909
