W_m L_m VSG NFmin_dB NF_dB Rn SOpt_real SOpt_imag
10e-6 0.28e-6 0.60 0.0182333 16.8048 2345.64 0.999799 0.0149572
10e-6 0.28e-6 0.65 0.027719 19.7572 4677.84 0.999805 0.0159342
10e-6 0.28e-6 0.70 0.0349253 21.2171 6566.77 0.999798 0.0167593
10e-6 0.28e-6 0.75 0.0336465 20.498 5557.07 0.999779 0.0173908
10e-6 0.28e-6 0.80 0.0286015 18.8204 3760.46 0.999753 0.0178462
10e-6 0.28e-6 0.90 0.022224 16.3384 2101.67 0.999709 0.0183827
10e-6 0.28e-6 1.00 0.0197475 15.1734 1595.41 0.999684 0.0186475
10e-6 0.28e-6 1.10 0.0185615 14.5526 1376.22 0.999668 0.0188026
10e-6 0.28e-6 1.20 0.017865 14.1615 1253.42 0.999657 0.0189098
10e-6 0.36e-6 0.35 0.000774813 0.566093 6.96091 0.99863 0.0133925
10e-6 0.36e-6 0.40 0.00117902 1.17053 15.4664 0.99903 0.0136514
10e-6 0.36e-6 0.45 0.00197212 2.59491 40.8765 0.999346 0.0140442
10e-6 0.36e-6 0.50 0.003362 5.01105 108.511 0.999536 0.0146622
10e-6 0.36e-6 0.55 0.00571781 8.10146 272.919 0.999638 0.0155686
10e-6 0.36e-6 0.60 0.00967136 11.4497 648.086 0.999688 0.0167316
10e-6 0.36e-6 0.65 0.0160173 14.7656 1447.93 0.99971 0.0180112
10e-6 0.36e-6 0.70 0.0249908 17.7383 2920.01 0.999717 0.0192203
10e-6 0.36e-6 0.75 0.0342667 19.8003 4724.85 0.999712 0.020224
10e-6 0.36e-6 0.80 0.0381973 20.2636 5262.34 0.999696 0.0209827
10e-6 0.36e-6 0.90 0.0328899 18.429 3431.91 0.99965 0.0218928
10e-6 0.36e-6 1.00 0.0285225 16.9458 2424.53 0.999615 0.0223278
10e-6 0.36e-6 1.10 0.0262992 16.1046 1988.8 0.999593 0.0225637
10e-6 0.36e-6 1.20 0.0249457 15.5547 1746.33 0.999578 0.0227148
10e-6 0.50e-6 0.35 0.00061669 0.36978 4.44342 0.998262 0.0167908
10e-6 0.50e-6 0.40 0.000812111 0.594924 7.34008 0.998582 0.0170368
10e-6 0.50e-6 0.45 0.0012559 1.22718 16.3253 0.998962 0.0174787
10e-6 0.50e-6 0.50 0.00208272 2.55362 40.0153 0.999236 0.0181818
10e-6 0.50e-6 0.55 0.00353076 4.65052 95.88 0.999391 0.0192518
10e-6 0.50e-6 0.60 0.00605628 7.31997 219.73 0.999468 0.0207049
10e-6 0.50e-6 0.65 0.0103457 10.2844 483.777 0.999503 0.0224069
10e-6 0.50e-6 0.70 0.0170297 13.2564 1008.15 0.999515 0.0241131
10e-6 0.50e-6 0.75 0.025976 15.9099 1899.33 0.999515 0.0255983
10e-6 0.50e-6 0.80 0.0352874 17.8602 3004.34 0.999507 0.0267571
10e-6 0.50e-6 0.90 0.0434767 18.8796 3812.28 0.999472 0.0281729
10e-6 0.50e-6 1.00 0.0419146 18.2005 3253.15 0.999436 0.0288439
10e-6 0.50e-6 1.10 0.0396938 17.5321 2781.97 0.999409 0.0291944
10e-6 0.50e-6 1.20 0.0378942 17.0012 2456.11 0.99939 0.0294087
