VDS_V W_m L_m VGS_V NFmin_dB NF_dB Rn_Ohm SOpt_real SOpt_imag
5.0 0.30e-6 0.60e-6 1.79 0.00109553 25.7102 18573.6 0.999833 0.00025255
5.0 0.30e-6 0.60e-6 1.795 0.00109585 25.7154 18595.8 0.999833 0.00025254
5.0 0.30e-6 0.60e-6 1.8 0.00109617 25.7206 18618.1 0.999833 0.000252529
5.0 0.30e-6 0.60e-6 1.805 0.0010965 25.7258 18640.5 0.999833 0.000252517
5.0 0.30e-6 0.60e-6 1.81 0.00109684 25.731 18662.9 0.999833 0.000252505
5.0 0.30e-6 0.60e-6 1.815 0.00109717 25.7362 18685.4 0.999833 0.000252492
5.0 0.30e-6 0.60e-6 1.82 0.00109752 25.7415 18708 0.999833 0.000252477
5.0 0.30e-6 0.60e-6 1.825 0.00109786 25.7467 18730.7 0.999833 0.000252462
5.0 0.30e-6 0.60e-6 1.83 0.00109821 25.752 18753.5 0.999833 0.000252446
5.0 0.30e-6 0.60e-6 1.835 0.00109857 25.7572 18776.3 0.999833 0.00025243
5.0 0.30e-6 0.60e-6 1.84 0.00109892 25.7625 18799.3 0.999833 0.000252412
5.0 0.30e-6 0.60e-6 1.845 0.00109929 25.7678 18822.3 0.999833 0.000252393
5.0 0.30e-6 0.60e-6 1.85 0.00109965 25.7732 18845.5 0.999834 0.000252374
5.0 0.30e-6 0.60e-6 1.855 0.00110002 25.7785 18868.7 0.999834 0.000252353
5.0 0.30e-6 0.60e-6 1.86 0.0011004 25.7839 18892.1 0.999834 0.000252332
5.0 0.30e-6 0.60e-6 1.865 0.00110078 25.7892 18915.5 0.999834 0.000252309
5.0 0.30e-6 0.60e-6 1.87 0.00110116 25.7946 18939 0.999834 0.000252286
5.0 0.30e-6 0.60e-6 1.875 0.00110154 25.8 18962.7 0.999834 0.000252261
5.0 0.30e-6 0.60e-6 1.88 0.00110193 25.8054 18986.5 0.999834 0.000252236
5.0 0.30e-6 0.60e-6 1.885 0.00110233 25.8109 19010.4 0.999834 0.00025221
5.0 0.30e-6 0.60e-6 1.89 0.00110272 25.8164 19034.4 0.999834 0.000252182
5.0 0.30e-6 0.60e-6 1.895 0.00110313 25.8218 19058.5 0.999834 0.000252154
5.0 0.30e-6 0.60e-6 1.9 0.00110353 25.8273 19082.7 0.999834 0.000252124
5.0 0.30e-6 0.60e-6 1.905 0.00110394 25.8329 19107.1 0.999834 0.000252093
5.0 0.30e-6 0.60e-6 1.91 0.00110435 25.8384 19131.6 0.999834 0.000252061
