N_W_m N_L_m P_W_m P_L_m VCM ID_A JD_N_mA_per_um JD_P_mA_per_um VOUT_DC
0.22e-6 0.28e-6 10e-6 0.50e-6 0.85 6.25615E-06 0.0284371 0.000625615 1.74254
0.22e-6 0.28e-6 10e-6 0.50e-6 0.90 7.32473E-06 0.0332942 0.000732473 1.29176
0.22e-6 0.28e-6 10e-6 0.50e-6 0.95 3.97996E-06 0.0180907 0.000397996 0.122655
0.22e-6 0.28e-6 10e-6 0.50e-6 1.00 1.75356E-06 0.00797074 0.000175356 0.0403414
0.22e-6 0.28e-6 10e-6 0.50e-6 1.05 6.69316E-07 0.00304235 6.69316E-05 0.0131883
0.22e-6 0.28e-6 10e-6 0.50e-6 1.10 2.29496E-07 0.00104316 2.29496E-05 0.00405931
0.22e-6 0.28e-6 10e-6 0.50e-6 1.15 7.28283E-08 0.000331038 7.28283E-06 0.00118103
0.22e-6 0.28e-6 20e-6 0.28e-6 0.55 3.09226E-07 0.00140557 1.54613E-05 1.79978
0.22e-6 0.28e-6 20e-6 0.28e-6 0.60 6.90412E-07 0.00313824 3.45206E-05 1.79947
0.22e-6 0.28e-6 20e-6 0.28e-6 0.65 1.32218E-06 0.0060099 6.61089E-05 1.79886
0.22e-6 0.28e-6 20e-6 0.28e-6 0.70 2.22268E-06 0.0101031 0.000111134 1.79784
0.22e-6 0.28e-6 20e-6 0.28e-6 0.75 3.37626E-06 0.0153466 0.000168813 1.79621
0.22e-6 0.28e-6 20e-6 0.28e-6 0.80 4.75189E-06 0.0215995 0.000237594 1.79365
0.22e-6 0.28e-6 20e-6 0.28e-6 0.85 6.31567E-06 0.0287076 0.000315784 1.7895
0.22e-6 0.28e-6 20e-6 0.28e-6 0.90 8.03546E-06 0.0365248 0.000401773 1.78222
0.22e-6 0.28e-6 20e-6 0.28e-6 0.95 9.87794E-06 0.0448997 0.000493897 1.76715
0.22e-6 0.28e-6 20e-6 0.28e-6 1.00 1.1762E-05 0.0534636 0.000588099 1.71119
0.22e-6 0.28e-6 20e-6 0.28e-6 1.05 9.49168E-06 0.043144 0.000474584 0.314686
0.22e-6 0.28e-6 20e-6 0.28e-6 1.10 4.07289E-06 0.0185131 0.000203645 0.0808325
0.22e-6 0.28e-6 20e-6 0.28e-6 1.15 1.48313E-06 0.0067415 7.41565E-05 0.0248571
0.22e-6 0.28e-6 20e-6 0.36e-6 0.55 3.09211E-07 0.0014055 1.54606E-05 1.7997
0.22e-6 0.28e-6 20e-6 0.36e-6 0.60 6.90343E-07 0.00313792 3.45171E-05 1.79926
0.22e-6 0.28e-6 20e-6 0.36e-6 0.65 1.32194E-06 0.00600881 6.60969E-05 1.7984
0.22e-6 0.28e-6 20e-6 0.36e-6 0.70 2.22201E-06 0.0101001 0.000111101 1.79692
0.22e-6 0.28e-6 20e-6 0.36e-6 0.75 3.37469E-06 0.0153395 0.000168734 1.79449
0.22e-6 0.28e-6 20e-6 0.36e-6 0.80 4.74843E-06 0.0215838 0.000237422 1.79049
0.22e-6 0.28e-6 20e-6 0.36e-6 0.85 6.30817E-06 0.0286735 0.000315408 1.78358
0.22e-6 0.28e-6 20e-6 0.36e-6 0.90 8.01781E-06 0.0364446 0.00040089 1.76988
0.22e-6 0.28e-6 20e-6 0.36e-6 0.95 9.8173E-06 0.0446241 0.000490865 1.72895
0.22e-6 0.28e-6 20e-6 0.36e-6 1.00 7.55514E-06 0.0343416 0.000377757 0.265612
0.22e-6 0.28e-6 20e-6 0.36e-6 1.05 3.13489E-06 0.0142495 0.000156745 0.0674087
0.22e-6 0.28e-6 20e-6 0.36e-6 1.10 1.13048E-06 0.00513853 5.65238E-05 0.0204886
0.22e-6 0.28e-6 20e-6 0.36e-6 1.15 3.71895E-07 0.00169043 1.85948E-05 0.00607198
0.22e-6 0.28e-6 20e-6 0.50e-6 0.55 3.09187E-07 0.0014054 1.54594E-05 1.79957
0.22e-6 0.28e-6 20e-6 0.50e-6 0.60 6.90232E-07 0.00313742 3.45116E-05 1.79893
0.22e-6 0.28e-6 20e-6 0.50e-6 0.65 1.32156E-06 0.00600708 6.60779E-05 1.79768
0.22e-6 0.28e-6 20e-6 0.50e-6 0.70 2.22097E-06 0.0100953 0.000111049 1.79547
0.22e-6 0.28e-6 20e-6 0.50e-6 0.75 3.37222E-06 0.0153283 0.000168611 1.79178
0.22e-6 0.28e-6 20e-6 0.50e-6 0.80 4.74299E-06 0.021559 0.000237149 1.78552
0.22e-6 0.28e-6 20e-6 0.50e-6 0.85 6.29601E-06 0.0286182 0.000314801 1.77399
0.22e-6 0.28e-6 20e-6 0.50e-6 0.90 7.98517E-06 0.0362962 0.000399258 1.74707
0.22e-6 0.28e-6 20e-6 0.50e-6 0.95 7.76989E-06 0.0353177 0.000388494 0.590438
0.22e-6 0.28e-6 20e-6 0.50e-6 1.00 3.49508E-06 0.0158867 0.000174754 0.0874059
0.22e-6 0.28e-6 20e-6 0.50e-6 1.05 1.33622E-06 0.00607373 6.68111E-05 0.0269119
0.22e-6 0.28e-6 20e-6 0.50e-6 1.10 4.5841E-07 0.00208368 2.29205E-05 0.00815761
0.22e-6 0.28e-6 20e-6 0.50e-6 1.15 1.45497E-07 0.000661349 7.27484E-06 0.00236335
0.22e-6 0.28e-6 30e-6 0.28e-6 0.55 3.09239E-07 0.00140563 1.0308E-05 1.79985
0.22e-6 0.28e-6 30e-6 0.28e-6 0.60 6.90472E-07 0.00313851 2.30157E-05 1.79964
0.22e-6 0.28e-6 30e-6 0.28e-6 0.65 1.32238E-06 0.0060108 4.40792E-05 1.79924
0.22e-6 0.28e-6 30e-6 0.28e-6 0.70 2.22319E-06 0.0101054 7.41065E-05 1.79856
0.22e-6 0.28e-6 30e-6 0.28e-6 0.75 3.37742E-06 0.0153519 0.000112581 1.79748
0.22e-6 0.28e-6 30e-6 0.28e-6 0.80 4.75422E-06 0.0216101 0.000158474 1.79578
0.22e-6 0.28e-6 30e-6 0.28e-6 0.85 6.32017E-06 0.0287281 0.000210672 1.79305
0.22e-6 0.28e-6 30e-6 0.28e-6 0.90 8.04421E-06 0.0365646 0.00026814 1.78834
0.22e-6 0.28e-6 30e-6 0.28e-6 0.95 9.89681E-06 0.0449855 0.000329894 1.77905
0.22e-6 0.28e-6 30e-6 0.28e-6 1.00 1.18369E-05 0.0538039 0.000394562 1.75423
0.22e-6 0.28e-6 30e-6 0.28e-6 1.05 1.20687E-05 0.0548578 0.000402291 0.864883
0.22e-6 0.28e-6 30e-6 0.28e-6 1.10 6.01487E-06 0.0273403 0.000200496 0.128464
0.22e-6 0.28e-6 30e-6 0.28e-6 1.15 2.21387E-06 0.0100631 7.37958E-05 0.0377816
0.22e-6 0.28e-6 30e-6 0.36e-6 0.55 3.09229E-07 0.00140559 1.03076E-05 1.7998
0.22e-6 0.28e-6 30e-6 0.36e-6 0.60 6.90425E-07 0.0031383 2.30142E-05 1.79951
0.22e-6 0.28e-6 30e-6 0.36e-6 0.65 1.32222E-06 0.00601007 4.40738E-05 1.79894
0.22e-6 0.28e-6 30e-6 0.36e-6 0.70 2.22275E-06 0.0101034 7.40918E-05 1.79795
0.22e-6 0.28e-6 30e-6 0.36e-6 0.75 3.37637E-06 0.0153472 0.000112546 1.79633
0.22e-6 0.28e-6 30e-6 0.36e-6 0.80 4.75195E-06 0.0215998 0.000158398 1.7937
0.22e-6 0.28e-6 30e-6 0.36e-6 0.85 6.3153E-06 0.0287059 0.00021051 1.78921
0.22e-6 0.28e-6 30e-6 0.36e-6 0.90 8.03321E-06 0.0365146 0.000267774 1.78066
0.22e-6 0.28e-6 30e-6 0.36e-6 0.95 9.86642E-06 0.0448473 0.000328881 1.75988
0.22e-6 0.28e-6 30e-6 0.36e-6 1.00 1.03206E-05 0.046912 0.000344022 0.939099
0.22e-6 0.28e-6 30e-6 0.36e-6 1.05 4.67395E-06 0.0212452 0.000155798 0.107351
0.22e-6 0.28e-6 30e-6 0.36e-6 1.10 1.6923E-06 0.00769227 5.641E-05 0.0311625
0.22e-6 0.28e-6 30e-6 0.36e-6 1.15 5.57367E-07 0.00253349 1.85789E-05 0.00913906
0.22e-6 0.28e-6 30e-6 0.50e-6 0.55 3.09213E-07 0.00140552 1.03071E-05 1.79971
0.22e-6 0.28e-6 30e-6 0.50e-6 0.60 6.90352E-07 0.00313796 2.30117E-05 1.79929
0.22e-6 0.28e-6 30e-6 0.50e-6 0.65 1.32196E-06 0.00600892 4.40654E-05 1.79845
0.22e-6 0.28e-6 30e-6 0.50e-6 0.70 2.22206E-06 0.0101003 7.40688E-05 1.79699
0.22e-6 0.28e-6 30e-6 0.50e-6 0.75 3.37474E-06 0.0153397 0.000112491 1.79455
0.22e-6 0.28e-6 30e-6 0.50e-6 0.80 4.74839E-06 0.0215836 0.00015828 1.79045
