VDS_V W_m L_m VGS_V NFmin_dB NF_dB Rn_Ohm SOpt_real SOpt_imag
5.0 0.30e-6 0.60e-6 1.4 0.0133815 27.7133 29482.5 0.999995 -7.29742E-05
5.0 0.30e-6 0.60e-6 1.405 0.0133927 27.7176 29511.7 0.999995 -7.292E-05
5.0 0.30e-6 0.60e-6 1.41 0.0134038 27.7218 29540.6 0.999995 -7.28662E-05
5.0 0.30e-6 0.60e-6 1.415 0.0134148 27.7261 29569.4 0.999995 -7.28128E-05
5.0 0.30e-6 0.60e-6 1.42 0.0134258 27.7303 29598 0.999995 -7.27598E-05
5.0 0.30e-6 0.60e-6 1.425 0.0134367 27.7344 29626.4 0.999995 -7.2707E-05
5.0 0.30e-6 0.60e-6 1.43 0.0134475 27.7385 29654.6 0.999995 -7.26547E-05
5.0 0.30e-6 0.60e-6 1.435 0.0134583 27.7426 29682.6 0.999995 -7.26027E-05
5.0 0.30e-6 0.60e-6 1.44 0.0134691 27.7467 29710.5 0.999995 -7.2551E-05
5.0 0.30e-6 0.60e-6 1.445 0.0134797 27.7507 29738.2 0.999995 -7.24996E-05
5.0 0.30e-6 0.60e-6 1.45 0.0134904 27.7547 29765.7 0.999995 -7.24486E-05
5.0 0.30e-6 0.60e-6 1.455 0.0135009 27.7587 29793 0.999995 -7.23979E-05
5.0 0.30e-6 0.60e-6 1.46 0.0135115 27.7627 29820.2 0.999995 -7.23475E-05
5.0 0.30e-6 0.60e-6 1.465 0.0135219 27.7666 29847.3 0.999995 -7.22975E-05
5.0 0.30e-6 0.60e-6 1.47 0.0135323 27.7705 29874.1 0.999995 -7.22477E-05
5.0 0.30e-6 0.60e-6 1.475 0.0135427 27.7744 29900.9 0.999995 -7.21983E-05
5.0 0.30e-6 0.60e-6 1.48 0.013553 27.7782 29927.5 0.999995 -7.21492E-05
5.0 0.30e-6 0.60e-6 1.485 0.0135633 27.7821 29953.9 0.999995 -7.21003E-05
5.0 0.30e-6 0.60e-6 1.49 0.0135735 27.7859 29980.2 0.999995 -7.20518E-05
5.0 0.30e-6 0.60e-6 1.495 0.0135837 27.7897 30006.4 0.999995 -7.20036E-05
5.0 0.30e-6 0.60e-6 1.5 0.0135938 27.7934 30032.5 0.999995 -7.19556E-05
5.0 0.30e-6 0.60e-6 1.505 0.0136039 27.7972 30058.4 0.999995 -7.19079E-05
5.0 0.30e-6 0.60e-6 1.51 0.0136139 27.8009 30084.2 0.999995 -7.18605E-05
5.0 0.30e-6 0.60e-6 1.515 0.0136239 27.8046 30109.9 0.999995 -7.18134E-05
5.0 0.30e-6 0.60e-6 1.52 0.0136339 27.8083 30135.4 0.999995 -7.17666E-05
5.0 0.30e-6 0.60e-6 1.525 0.0136438 27.8119 30160.9 0.999995 -7.172E-05
5.0 0.30e-6 0.60e-6 1.53 0.0136537 27.8156 30186.2 0.999995 -7.16737E-05
5.0 0.30e-6 0.60e-6 1.535 0.0136635 27.8192 30211.5 0.999995 -7.16276E-05
5.0 0.30e-6 0.60e-6 1.54 0.0136733 27.8228 30236.6 0.999995 -7.15819E-05
5.0 0.30e-6 0.60e-6 1.545 0.0136831 27.8264 30261.6 0.999995 -7.15363E-05
5.0 0.30e-6 0.60e-6 1.55 0.0136928 27.83 30286.5 0.999995 -7.14911E-05
5.0 0.30e-6 0.60e-6 1.555 0.0137025 27.8335 30311.4 0.999995 -7.1446E-05
5.0 0.30e-6 0.60e-6 1.56 0.0137121 27.8371 30336.1 0.999995 -7.14012E-05
5.0 0.30e-6 0.60e-6 1.565 0.0137218 27.8406 30360.8 0.999995 -7.13567E-05
5.0 0.30e-6 0.60e-6 1.57 0.0137313 27.8441 30385.3 0.999995 -7.13124E-05
5.0 0.30e-6 0.60e-6 1.575 0.0137409 27.8476 30409.8 0.999995 -7.12684E-05
5.0 0.30e-6 0.60e-6 1.58 0.0137504 27.851 30434.2 0.999995 -7.12245E-05
5.0 0.30e-6 0.60e-6 1.585 0.0137598 27.8545 30458.4 0.999995 -7.1181E-05
5.0 0.30e-6 0.60e-6 1.59 0.0137693 27.8579 30482.7 0.999995 -7.11376E-05
5.0 0.30e-6 0.60e-6 1.595 0.0137787 27.8614 30506.8 0.999995 -7.10945E-05
5.0 0.30e-6 0.60e-6 1.6 0.0137881 27.8648 30530.9 0.999995 -7.10516E-05
5.0 0.30e-6 0.60e-6 1.605 0.0137974 27.8682 30554.9 0.999995 -7.10089E-05
5.0 0.30e-6 0.60e-6 1.61 0.0138067 27.8716 30578.8 0.999995 -7.09664E-05
5.0 0.30e-6 0.60e-6 1.615 0.013816 27.875 30602.6 0.999995 -7.09241E-05
5.0 0.30e-6 0.60e-6 1.62 0.0138252 27.8783 30626.4 0.999995 -7.08821E-05
