N_W_m N_L_m P_W_m P_L_m VCM NFmin_dB NF_dB Rn SOpt_real SOpt_imag
0.22e-6 0.28e-6 10e-6 0.50e-6 1.05 0.0580711 22.7617 9392.11 0.999588 0.0260906
0.22e-6 0.28e-6 10e-6 0.50e-6 1.10 0.0584383 23.7143 11708 0.99964 0.0246091
0.22e-6 0.28e-6 10e-6 0.50e-6 1.15 0.0605826 25.1385 16271.7 0.999695 0.0229073
0.22e-6 0.28e-6 20e-6 0.28e-6 0.55 0.119423 27.7111 29452 0.998906 0.0457592
0.22e-6 0.28e-6 20e-6 0.28e-6 0.60 0.114061 27.333 26992.4 0.998907 0.0456966
0.22e-6 0.28e-6 20e-6 0.28e-6 0.65 0.108209 26.9006 24429.3 0.998908 0.0456133
0.22e-6 0.28e-6 20e-6 0.28e-6 0.70 0.101743 26.398 21754.3 0.998911 0.0454957
0.22e-6 0.28e-6 20e-6 0.28e-6 0.75 0.0945087 25.8019 18958 0.998915 0.0453288
0.22e-6 0.28e-6 20e-6 0.28e-6 0.80 0.0862797 25.0731 16021.5 0.998921 0.0450912
0.22e-6 0.28e-6 20e-6 0.28e-6 0.85 0.0766867 24.14 12914.5 0.99893 0.0447447
0.22e-6 0.28e-6 20e-6 0.28e-6 0.90 0.0651299 22.8616 9608.76 0.998944 0.044213
0.22e-6 0.28e-6 20e-6 0.28e-6 0.95 0.0507738 20.9431 6159.85 0.998968 0.0432882
0.22e-6 0.28e-6 20e-6 0.28e-6 1.00 0.0337631 17.947 3065.3 0.999064 0.0402277
0.22e-6 0.28e-6 20e-6 0.28e-6 1.05 0.0326411 18.1095 3184.32 0.999264 0.035153
0.22e-6 0.28e-6 20e-6 0.28e-6 1.10 0.0413677 20.6202 5715.89 0.99934 0.0339458
0.22e-6 0.28e-6 20e-6 0.28e-6 1.15 0.0437898 21.7709 7465.4 0.99941 0.0323129
0.22e-6 0.28e-6 20e-6 0.36e-6 0.55 0.100738 24.6515 14531.1 0.998392 0.0552675
0.22e-6 0.28e-6 20e-6 0.36e-6 0.60 0.0958073 24.2447 13227.3 0.998394 0.0551679
0.22e-6 0.28e-6 20e-6 0.36e-6 0.65 0.0904507 23.7805 11881.3 0.998397 0.0550369
0.22e-6 0.28e-6 20e-6 0.36e-6 0.70 0.0845485 23.2405 10486.5 0.998402 0.054855
0.22e-6 0.28e-6 20e-6 0.36e-6 0.75 0.0779427 22.597 9035.44 0.998409 0.054597
0.22e-6 0.28e-6 20e-6 0.36e-6 0.80 0.0703968 21.8025 7516.7 0.998421 0.0542225
0.22e-6 0.28e-6 20e-6 0.36e-6 0.85 0.0615243 20.7689 5914.15 0.99844 0.0536527
0.22e-6 0.28e-6 20e-6 0.36e-6 0.90 0.0507086 19.3189 4221.36 0.998473 0.0526856
0.22e-6 0.28e-6 20e-6 0.36e-6 0.95 0.0379003 17.2696 2614.77 0.998579 0.0500742
0.22e-6 0.28e-6 20e-6 0.36e-6 1.00 0.0386425 17.995 3099.77 0.998959 0.0423529
0.22e-6 0.28e-6 20e-6 0.36e-6 1.05 0.0434482 19.541 4446.62 0.999052 0.0408661
0.22e-6 0.28e-6 20e-6 0.36e-6 1.10 0.0425591 20.1237 5092.56 0.999148 0.03887
0.22e-6 0.28e-6 20e-6 0.36e-6 1.15 0.0414465 20.8833 6075.71 0.999256 0.0364645
0.22e-6 0.28e-6 20e-6 0.50e-6 0.55 0.0832542 20.7706 5913.1 0.997248 0.0719248
0.22e-6 0.28e-6 20e-6 0.50e-6 0.60 0.0789953 20.3523 5365.56 0.997252 0.0717698
0.22e-6 0.28e-6 20e-6 0.50e-6 0.65 0.0743962 19.8779 4805.22 0.997257 0.0715675
0.22e-6 0.28e-6 20e-6 0.50e-6 0.70 0.0693476 19.3283 4228.1 0.997267 0.0712894
0.22e-6 0.28e-6 20e-6 0.50e-6 0.75 0.063702 18.6741 3629.93 0.997282 0.0708939
0.22e-6 0.28e-6 20e-6 0.50e-6 0.80 0.0572395 17.8664 3005.48 0.997306 0.0703057
0.22e-6 0.28e-6 20e-6 0.50e-6 0.85 0.0496147 16.8174 2349.89 0.997349 0.0693504
