VDS_set_V W_m L_m VBIAS_set_V VGS_actual_V VDS_actual_V VBS_actual_V ID_A JD_mA_per_um Pdc_mW gm_S gds_S gm_ID_1_per_V ro_Ohm gmro Rin_CG_est_Ohm NFmin_dB NF_dB Rn_Ohm SOpt_real SOpt_imag SOpt_mag
5.0 0.30e-6 0.60e-6 1.58 1.58 5 0 3.05064E-05 0.101688 0.152532 3.67369E-05 1.16975E-06 1.20424 854886 31.4058 27220.6 0.00108622 25.4978 17684.6 0.999832 0.000252334 0.999832
5.0 0.30e-6 0.60e-6 1.585 1.585 5 0 3.06912E-05 0.102304 0.153456 3.67975E-05 1.17159E-06 1.19896 853540 31.4081 27175.8 0.00108634 25.5029 17705.3 0.999832 0.000252353 0.999832
5.0 0.30e-6 0.60e-6 1.59 1.59 5 0 3.08763E-05 0.102921 0.154382 3.68579E-05 1.17343E-06 1.19373 852204 31.4104 27131.3 0.00108647 25.5079 17725.9 0.999832 0.00025237 0.999832
5.0 0.30e-6 0.60e-6 1.595 1.595 5 0 3.10617E-05 0.103539 0.155309 3.6918E-05 1.17526E-06 1.18854 850877 31.4127 27087.1 0.0010866 25.5129 17746.6 0.999832 0.000252387 0.999832
5.0 0.30e-6 0.60e-6 1.6 1.6 5 0 3.12474E-05 0.104158 0.156237 3.69779E-05 1.17708E-06 1.18339 849560 31.4149 27043.2 0.00108674 25.518 17767.3 0.999832 0.000252404 0.999832
5.0 0.30e-6 0.60e-6 1.605 1.605 5 0 3.14334E-05 0.104778 0.157167 3.70375E-05 1.1789E-06 1.17829 848252 31.4171 26999.7 0.00108688 25.523 17787.9 0.999832 0.00025242 0.999832
5.0 0.30e-6 0.60e-6 1.61 1.61 5 0 3.16196E-05 0.105399 0.158098 3.70969E-05 1.1807E-06 1.17322 846953 31.4193 26956.4 0.00108703 25.5281 17808.6 0.999832 0.000252435 0.999832
5.0 0.30e-6 0.60e-6 1.615 1.615 5 0 3.18062E-05 0.106021 0.159031 3.7156E-05 1.1825E-06 1.1682 845663 31.4215 26913.5 0.00108718 25.5331 17829.3 0.999832 0.000252449 0.999832
5.0 0.30e-6 0.60e-6 1.62 1.62 5 0 3.1993E-05 0.106643 0.159965 3.72149E-05 1.1843E-06 1.16322 844382 31.4236 26870.9 0.00108734 25.5381 17850 0.999832 0.000252463 0.999832
5.0 0.30e-6 0.60e-6 1.625 1.625 5 0 3.21801E-05 0.107267 0.1609 3.72736E-05 1.18608E-06 1.15828 843110 31.4257 26828.6 0.0010875 25.5431 17870.7 0.999832 0.000252477 0.999832
5.0 0.30e-6 0.60e-6 1.63 1.63 5 0 3.23675E-05 0.107892 0.161837 3.7332E-05 1.18787E-06 1.15338 841846 31.4278 26786.7 0.00108767 25.5482 17891.5 0.999832 0.00025249 0.999832
5.0 0.30e-6 0.60e-6 1.635 1.635 5 0 3.25551E-05 0.108517 0.162776 3.73902E-05 1.18964E-06 1.14852 840591 31.4299 26745 0.00108784 25.5532 17912.2 0.999832 0.000252502 0.999832
5.0 0.30e-6 0.60e-6 1.64 1.64 5 0 3.27431E-05 0.109144 0.163715 3.74481E-05 1.19141E-06 1.1437 839344 31.4319 26703.6 0.00108801 25.5582 17933 0.999832 0.000252513 0.999832
5.0 0.30e-6 0.60e-6 1.645 1.645 5 0 3.29313E-05 0.109771 0.164656 3.75058E-05 1.19317E-06 1.13891 838105 31.4339 26662.5 0.0010882 25.5632 17953.8 0.999832 0.000252524 0.999832
5.0 0.30e-6 0.60e-6 1.65 1.65 5 0 3.31198E-05 0.110399 0.165599 3.75633E-05 1.19492E-06 1.13417 836875 31.4358 26621.7 0.00108838 25.5682 17974.6 0.999832 0.000252534 0.999832
5.0 0.30e-6 0.60e-6 1.655 1.655 5 0 3.33085E-05 0.111028 0.166543 3.76206E-05 1.19667E-06 1.12946 835652 31.4377 26581.2 0.00108857 25.5733 17995.5 0.999832 0.000252544 0.999832
5.0 0.30e-6 0.60e-6 1.66 1.66 5 0 3.34975E-05 0.111658 0.167488 3.76775E-05 1.19841E-06 1.12479 834438 31.4396 26541 0.00108877 25.5783 18016.4 0.999832 0.000252553 0.999832
5.0 0.30e-6 0.60e-6 1.665 1.665 5 0 3.36868E-05 0.112289 0.168434 3.77343E-05 1.20015E-06 1.12015 833231 31.4414 26501.1 0.00108897 25.5833 18037.3 0.999832 0.000252562 0.999832
5.0 0.30e-6 0.60e-6 1.67 1.67 5 0 3.38764E-05 0.112921 0.169382 3.77908E-05 1.20188E-06 1.11555 832031 31.4432 26461.4 0.00108918 25.5883 18058.2 0.999832 0.000252569 0.999832
5.0 0.30e-6 0.60e-6 1.675 1.675 5 0 3.40662E-05 0.113554 0.170331 3.78471E-05 1.2036E-06 1.11099 830840 31.4449 26422.1 0.00108939 25.5934 18079.1 0.999832 0.000252576 0.999832
5.0 0.30e-6 0.60e-6 1.68 1.68 5 0 3.42563E-05 0.114188 0.171282 3.79032E-05 1.20532E-06 1.10646 829655 31.4466 26383 0.00108961 25.5984 18100.1 0.999832 0.000252583 0.999832
5.0 0.30e-6 0.60e-6 1.685 1.685 5 0 3.44467E-05 0.114822 0.172234 3.7959E-05 1.20703E-06 1.10196 828478 31.4482 26344.2 0.00108983 25.6034 18121.2 0.999832 0.000252589 0.999832
5.0 0.30e-6 0.60e-6 1.69 1.69 5 0 3.46374E-05 0.115458 0.173187 3.80147E-05 1.20874E-06 1.0975 827309 31.4498 26305.6 0.00109005 25.6084 18142.2 0.999832 0.000252594 0.999832
5.0 0.30e-6 0.60e-6 1.695 1.695 5 0 3.48283E-05 0.116094 0.174141 3.807E-05 1.21044E-06 1.09308 826146 31.4514 26267.4 0.00109028 25.6135 18163.3 0.999832 0.000252598 0.999832
5.0 0.30e-6 0.60e-6 1.7 1.7 5 0 3.50194E-05 0.116731 0.175097 3.81252E-05 1.21214E-06 1.08869 824990 31.4529 26229.4 0.00109052 25.6185 18184.5 0.999832 0.000252602 0.999832
5.0 0.30e-6 0.60e-6 1.705 1.705 5 0 3.52108E-05 0.117369 0.176054 3.81801E-05 1.21383E-06 1.08433 823842 31.4544 26191.7 0.00109076 25.6236 18205.7 0.999832 0.000252605 0.999832
5.0 0.30e-6 0.60e-6 1.71 1.71 5 0 3.54025E-05 0.118008 0.177013 3.82348E-05 1.21551E-06 1.08 822700 31.4558 26154.2 0.001091 25.6286 18226.9 0.999832 0.000252608 0.999832
5.0 0.30e-6 0.60e-6 1.715 1.715 5 0 3.55945E-05 0.118648 0.177972 3.82893E-05 1.21719E-06 1.07571 821565 31.4571 26117 0.00109125 25.6336 18248.2 0.999832 0.00025261 0.999832
5.0 0.30e-6 0.60e-6 1.72 1.72 5 0 3.57867E-05 0.119289 0.178933 3.83435E-05 1.21886E-06 1.07145 820436 31.4584 26080 0.0010915 25.6387 18269.5 0.999832 0.000252611 0.999833
5.0 0.30e-6 0.60e-6 1.725 1.725 5 0 3.59791E-05 0.11993 0.179896 3.83975E-05 1.22053E-06 1.06722 819315 31.4596 26043.4 0.00109176 25.6438 18290.8 0.999833 0.000252611 0.999833
5.0 0.30e-6 0.60e-6 1.73 1.73 5 0 3.61719E-05 0.120573 0.180859 3.84513E-05 1.2222E-06 1.06302 818199 31.4608 26006.9 0.00109202 25.6488 18312.2 0.999833 0.000252611 0.999833
5.0 0.30e-6 0.60e-6 1.735 1.735 5 0 3.63648E-05 0.121216 0.181824 3.85049E-05 1.22386E-06 1.05885 817090 31.462 25970.7 0.00109229 25.6539 18333.7 0.999833 0.00025261 0.999833
5.0 0.30e-6 0.60e-6 1.74 1.74 5 0 3.65581E-05 0.12186 0.18279 3.85582E-05 1.22551E-06 1.05471 815988 31.463 25934.8 0.00109256 25.659 18355.2 0.999833 0.000252608 0.999833
5.0 0.30e-6 0.60e-6 1.745 1.745 5 0 3.67516E-05 0.122505 0.183758 3.86114E-05 1.22716E-06 1.0506 814891 31.4641 25899.1 0.00109284 25.6641 18376.8 0.999833 0.000252606 0.999833
5.0 0.30e-6 0.60e-6 1.75 1.75 5 0 3.69453E-05 0.123151 0.184726 3.86643E-05 1.2288E-06 1.04653 813801 31.465 25863.7 0.00109312 25.6692 18398.4 0.999833 0.000252602 0.999833
5.0 0.30e-6 0.60e-6 1.755 1.755 5 0 3.71393E-05 0.123798 0.185696 3.8717E-05 1.23044E-06 1.04248 812717 31.4659 25828.5 0.00109341 25.6743 18420.1 0.999833 0.000252599 0.999833
