VDS_set_V W_m L_m VBIAS_set_V VGS_actual_V VDS_actual_V VBS_actual_V ID_A JD_mA_per_um Pdc_mW gm_S gds_S gm_ID_1_per_V ro_Ohm gmro inv_gm_Ohm NFmin_dB NF_dB Rn_Ohm SOpt_real SOpt_imag SOpt_mag
5.0 4e-6 0.60e-6 0.715 0.715 5 0 2.22201E-08 5.55502E-06 0.0001111 4.93031E-07 2.0925E-09 22.1886 477898000 235.619 2028270 0.0405241 7.00689 200.925 0.997077 0.0350763 0.997694
5.0 4e-6 0.60e-6 0.72 0.72 5 0 2.48709E-08 6.21773E-06 0.000124355 5.49463E-07 2.34009E-09 22.0926 427334000 234.805 1819960 0.0428677 7.0074 200.953 0.996944 0.0350887 0.997562
5.0 4e-6 0.60e-6 0.725 0.725 5 0 2.78242E-08 6.95605E-06 0.000139121 6.11935E-07 2.61543E-09 21.9929 382347000 233.971 1634160 0.0453338 7.00795 200.985 0.996805 0.0351022 0.997423
5.0 4e-6 0.60e-6 0.73 0.73 5 0 3.1112E-08 7.778E-06 0.00015556 6.81029E-07 2.92135E-09 21.8896 342307000 233.121 1.46837E+06 0.0479273 7.00857 201.02 0.996658 0.0351169 0.997277
5.0 4e-6 0.60e-6 0.735 0.735 5 0 3.47697E-08 8.69243E-06 0.000173849 7.57375E-07 3.26095E-09 21.7826 306659000 232.256 1320350 0.0506533 7.00926 201.059 0.996504 0.035133 0.997123
5.0 4e-6 0.60e-6 0.74 0.74 5 0 3.88359E-08 9.70898E-06 0.00019418 8.41651E-07 3.63757E-09 21.672 274909000 231.377 1188140 0.0535166 7.01003 201.102 0.996342 0.0351506 0.996962
5.0 4e-6 0.60e-6 0.745 0.745 5 0 4.33528E-08 1.08382E-05 0.000216764 9.34588E-07 4.05482E-09 21.5577 2.4662E+08 230.488 1069990 0.0565224 7.01088 201.15 0.996173 0.0351697 0.996793
5.0 4e-6 0.60e-6 0.75 0.75 5 0 4.83665E-08 1.20916E-05 0.000241832 1.03697E-06 4.51661E-09 21.44 221405000 229.591 964344 0.0596755 7.01181 201.203 0.995995 0.0351906 0.996617
5.0 4e-6 0.60e-6 0.755 0.755 5 0 5.39271E-08 1.34818E-05 0.000269635 1.14966E-06 5.02714E-09 21.3187 198920000 228.69 869825 0.062981 7.01285 201.262 0.995809 0.0352134 0.996432
5.0 4e-6 0.60e-6 0.76 0.76 5 0 6.00893E-08 1.50223E-05 0.000300447 1.27354E-06 5.59093E-09 21.1941 178861000 227.787 785213 0.0664437 7.014 201.327 0.995615 0.0352382 0.996238
5.0 4e-6 0.60e-6 0.765 0.765 5 0 6.69127E-08 1.67282E-05 0.000334563 1.4096E-06 6.2128E-09 21.0662 160958000 226.886 709422 0.0700684 7.01527 201.399 0.995411 0.0352654 0.996036
5.0 4e-6 0.60e-6 0.77 0.77 5 0 7.44617E-08 1.86154E-05 0.000372309 1.55887E-06 6.89791E-09 20.9352 144971000 225.992 641491 0.0738597 7.01666 201.478 0.995199 0.035295 0.995825
5.0 4e-6 0.60e-6 0.775 0.775 5 0 8.28064E-08 2.07016E-05 0.000414032 1.72247E-06 7.65175E-09 20.8011 1.30689E+08 225.107 580563 0.0778221 7.0182 201.566 0.994977 0.0353273 0.995604
5.0 4e-6 0.60e-6 0.78 0.78 5 0 9.20228E-08 2.30057E-05 0.000460114 1.90157E-06 8.48014E-09 20.6641 117923000 224.238 525881 0.0819602 7.01989 201.662 0.994746 0.0353626 0.995375
5.0 4e-6 0.60e-6 0.785 0.785 5 0 1.02193E-07 2.55482E-05 0.000510964 2.09745E-06 9.38925E-09 20.5244 106505000 223.388 476769 0.0862779 7.02174 201.767 0.994506 0.0354009 0.995136
5.0 4e-6 0.60e-6 0.79 0.79 5 0 1.13405E-07 2.83513E-05 0.000567026 2.31144E-06 1.03856E-08 20.3822 96287400 222.563 432630 0.0907792 7.02377 201.883 0.994255 0.0354427 0.994887
5.0 4e-6 0.60e-6 0.795 0.795 5 0 1.25756E-07 3.1439E-05 0.000628779 2.54498E-06 1.14759E-08 20.2375 87139000 221.767 392930 0.095468 7.026 202.009 0.993995 0.0354881 0.994629
5.0 4e-6 0.60e-6 0.8 0.8 5 0 1.39348E-07 3.4837E-05 0.000696739 2.79958E-06 1.26674E-08 20.0906 78942600 221.007 357196 0.100347 7.02843 202.148 0.993725 0.0355374 0.99436
5.0 4e-6 0.60e-6 0.805 0.805 5 0 1.54293E-07 3.85732E-05 0.000771463 3.07685E-06 1.39675E-08 19.9417 71594500 220.286 325007 0.105421 7.03108 202.299 0.993445 0.0355909 0.994083
5.0 4e-6 0.60e-6 0.81 0.81 5 0 1.7071E-07 4.26774E-05 0.000853548 3.37849E-06 1.5384E-08 19.7908 65002600 219.61 295990 0.110691 7.03396 202.464 0.993155 0.0356489 0.993795
5.0 4e-6 0.60e-6 0.815 0.815 5 0 1.88727E-07 4.71818E-05 0.000943637 3.70629E-06 1.69248E-08 19.6383 59085000 218.986 269812 0.11616 7.0371 202.643 0.992855 0.0357117 0.993497
5.0 4e-6 0.60e-6 0.82 0.82 5 0 2.08484E-07 5.21209E-05 0.00104242 4.06214E-06 1.8598E-08 19.4842 53769100 218.418 246175 0.12183 7.04051 202.838 0.992545 0.0357797 0.99319
5.0 4e-6 0.60e-6 0.825 0.825 5 0 2.30126E-07 5.75316E-05 0.00115063 4.44806E-06 2.04123E-08 19.3288 4.89901E+07 217.911 224817 0.127704 7.0442 203.049 0.992225 0.035853 0.992873
5.0 4e-6 0.60e-6 0.83 0.83 5 0 2.53813E-07 6.34534E-05 0.00126907 4.86612E-06 2.2376E-08 19.172 44690600 217.47 205503 0.133781 7.04819 203.277 0.991896 0.035932 0.992546
5.0 4e-6 0.60e-6 0.835 0.835 5 0 2.79714E-07 6.99285E-05 0.00139857 5.31852E-06 2.4498E-08 19.0141 4.08196E+07 217.1 188022 0.140064 7.05249 203.524 0.991556 0.0360171 0.99221
5.0 4e-6 0.60e-6 0.84 0.84 5 0 3.08009E-07 7.70022E-05 0.00154004 5.80757E-06 2.6787E-08 18.8552 37331600 216.806 172189 0.146552 7.05713 203.79 0.991207 0.0361085 0.991865
5.0 4e-6 0.60e-6 0.845 0.845 5 0 3.3889E-07 8.47225E-05 0.00169445 6.33565E-06 2.92517E-08 18.6953 34186000 216.591 157837 0.153246 7.06211 204.076 0.990849 0.0362065 0.991511
5.0 4e-6 0.60e-6 0.85 0.85 5 0 3.72562E-07 9.31405E-05 0.00186281 6.90524E-06 3.1901E-08 18.5345 31347000 216.459 144817 0.160145 7.06745 204.383 0.990482 0.0363115 0.991148
5.0 4e-6 0.60e-6 0.855 0.855 5 0 4.09243E-07 0.000102311 0.00204621 7.51892E-06 3.47434E-08 18.3728 28782400 216.413 132998 0.167248 7.07317 204.712 0.990107 0.0364237 0.990776
5.0 4e-6 0.60e-6 0.86 0.86 5 0 4.49162E-07 0.000112291 0.00224581 8.17931E-06 3.77875E-08 18.2101 26463800 216.455 122260 0.174555 7.07928 205.065 0.989723 0.0365434 0.990397
5.0 4e-6 0.60e-6 0.865 0.865 5 0 4.92566E-07 0.000123142 0.00246283 8.88913E-06 4.10416E-08 18.0466 24365500 216.588 112497 0.182063 7.0858 205.44 0.989331 0.0366708 0.99001
5.0 4e-6 0.60e-6 0.87 0.87 5 0 5.39712E-07 0.000134928 0.00269856 9.65114E-06 4.45136E-08 17.882 2.24651E+07 216.813 103615 0.18977 7.09272 205.841 0.988931 0.0368063 0.989616
5.0 4e-6 0.60e-6 0.875 0.875 5 0 5.90871E-07 0.000147718 0.00295436 1.04681E-05 4.82112E-08 17.7164 20742100 217.131 95528.2 0.197673 7.10007 206.266 0.988525 0.0369499 0.989215
5.0 4e-6 0.60e-6 0.88 0.88 5 0 6.46331E-07 0.000161583 0.00323165 1.13429E-05 5.21415E-08 17.5496 19178600 217.54 88161.1 0.205769 7.10786 206.717 0.988112 0.037102 0.988808
5.0 4e-6 0.60e-6 0.885 0.885 5 0 7.06392E-07 0.000176598 0.00353196 1.22782E-05 5.63114E-08 17.3816 17758400 218.041 81445.1 0.214054 7.11608 207.194 0.987693 0.0372626 0.988395
5.0 4e-6 0.60e-6 0.89 0.89 5 0 7.71369E-07 0.000192842 0.00385685 1.32769E-05 6.0727E-08 17.2121 1.64671E+07 218.632 75318.9 0.222525 7.12475 207.699 0.987268 0.0374319 0.987977
5.0 4e-6 0.60e-6 0.895 0.895 5 0 8.4159E-07 0.000210398 0.00420795 1.43416E-05 6.53938E-08 17.0411 1.5292E+07 219.311 69727.2 0.231176 7.13387 208.23 0.986839 0.03761 0.987555
5.0 4e-6 0.60e-6 0.9 0.9 5 0 9.17398E-07 0.00022935 0.00458699 1.5475E-05 7.03168E-08 16.8683 14221400 220.075 64620.4 0.240003 7.14345 208.788 0.986405 0.037797 0.987128
5.0 4e-6 0.60e-6 0.905 0.905 5 0 9.99147E-07 0.000249787 0.00499574 1.66795E-05 7.55001E-08 16.6938 13245000 220.921 59953.8 0.248999 7.15347 209.375 0.985967 0.0379929 0.986699
5.0 4e-6 0.60e-6 0.91 0.91 5 0 1.0872E-06 0.000271801 0.00543602 1.79576E-05 8.09471E-08 16.5172 12353800 221.843 55686.8 0.258159 7.16395 209.988 0.985526 0.0381976 0.986266
5.0 4e-6 0.60e-6 0.915 0.915 5 0 1.18195E-06 0.000295487 0.00590975 1.93113E-05 8.66604E-08 16.3385 1.15393E+07 222.838 51783.2 0.267476 7.17487 210.63 0.985083 0.0384113 0.985831
5.0 4e-6 0.60e-6 0.92 0.92 5 0 1.28377E-06 0.000320942 0.00641885 2.07426E-05 9.26419E-08 16.1575 1.07943E+07 223.901 48210 0.276943 7.18624 211.298 0.984638 0.0386337 0.985395
5.0 4e-6 0.60e-6 0.925 0.925 5 0 1.39306E-06 0.000348266 0.00696532 2.22532E-05 9.88924E-08 15.9743 1.0112E+07 225.024 44937.4 0.286552 7.19803 211.994 0.984191 0.0388647 0.984958
5.0 4e-6 0.60e-6 0.93 0.93 5 0 1.51024E-06 0.00037756 0.00755119 2.38445E-05 1.05412E-07 15.7886 9486600 226.203 41938.4 0.296295 7.21026 212.717 0.983744 0.0391043 0.984521
5.0 4e-6 0.60e-6 0.935 0.935 5 0 1.63571E-06 0.000408926 0.00817853 2.55176E-05 1.12199E-07 15.6004 8912710 227.431 39188.6 0.306163 7.22289 213.465 0.983297 0.0393521 0.984084
5.0 4e-6 0.60e-6 0.94 0.94 5 0 1.76988E-06 0.00044247 0.0088494 2.72733E-05 1.19253E-07 15.4097 8385520 228.701 36665.9 0.316148 7.23593 214.24 0.98285 0.0396081 0.983648
5.0 4e-6 0.60e-6 0.945 0.945 5 0 1.91318E-06 0.000478296 0.00956591 2.9112E-05 1.26571E-07 15.2165 7900720 230.006 34350.1 0.326239 7.24935 215.04 0.982405 0.0398719 0.983213
5.0 4e-6 0.60e-6 0.95 0.95 5 0 2.06603E-06 0.000516508 0.0103302 3.10337E-05 1.34148E-07 15.0209 7454430 231.339 32223 0.336428 7.26314 215.864 0.981961 0.0401432 0.982781
5.0 4e-6 0.60e-6 0.955 0.955 5 0 2.22885E-06 0.000557213 0.0111443 3.30381E-05 1.41982E-07 14.8229 7043160 232.693 30268.1 0.346702 7.27728 216.711 0.981519 0.0404218 0.982351
5.0 4e-6 0.60e-6 0.96 0.96 5 0 2.40206E-06 0.000600514 0.0120103 3.51244E-05 1.50066E-07 14.6226 6663750 234.06 28470.2 0.357052 7.29176 217.581 0.981081 0.0407073 0.981925
5.0 4e-6 0.60e-6 0.965 0.965 5 0 2.58606E-06 0.000646515 0.0129303 3.72915E-05 1.58394E-07 14.4202 6313370 235.435 26815.8 0.367467 7.30655 218.473 0.980645 0.0409993 0.981502
