W_m L_m VGS NFmin_dB NF_dB Rn SOpt_real SOpt_imag
5e-6 0.50e-6 0.70 0.0369778 23.4004 10889.5 0.999917 0.0093895
5e-6 0.50e-6 0.75 0.0313593 20.9386 6156.08 0.999886 0.0104946
5e-6 0.50e-6 0.80 0.028238 19.0778 3993.26 0.999852 0.0115327
5e-6 0.50e-6 0.90 0.0251515 16.9114 2405.23 0.999797 0.0128836
5e-6 0.50e-6 1.00 0.023622 15.9105 1899.84 0.999766 0.0134513
5e-6 0.50e-6 1.10 0.0228252 15.423 1692.81 0.999751 0.0136929
5e-6 0.50e-6 1.20 0.02245 15.1764 1596.62 0.999743 0.013824
10e-6 0.28e-6 0.35 0.00523077 6.98986 199.999 0.999599 0.0141501
10e-6 0.28e-6 0.40 0.00986377 11.562 666.381 0.999723 0.0146319
10e-6 0.28e-6 0.45 0.0176268 16.0741 1974.65 0.999782 0.0151892
10e-6 0.28e-6 0.50 0.0259134 19.0186 3938.4 0.9998 0.0157932
10e-6 0.28e-6 0.55 0.0258976 18.6714 3631.99 0.999783 0.0164033
10e-6 0.28e-6 0.60 0.0207861 16.4789 2172.42 0.999746 0.0169797
10e-6 0.28e-6 0.65 0.0167317 14.3741 1318.82 0.999701 0.0174932
10e-6 0.28e-6 0.70 0.0143115 12.8504 913.77 0.999659 0.017929
10e-6 0.28e-6 0.75 0.0129536 11.8557 716.494 0.999625 0.0182857
10e-6 0.28e-6 0.80 0.0122165 11.2436 615.725 0.999599 0.0185705
10e-6 0.28e-6 0.90 0.0116634 10.6853 535.42 0.999569 0.0189704
10e-6 0.28e-6 1.00 0.0116299 10.5515 517.657 0.999557 0.0192189
10e-6 0.28e-6 1.10 0.0117869 10.5892 522.6 0.999552 0.0193834
10e-6 0.28e-6 1.20 0.0120235 10.7011 537.542 0.999552 0.0195058
10e-6 0.36e-6 0.35 0.00235551 2.84548 46.2734 0.999306 0.0147058
10e-6 0.36e-6 0.40 0.00449387 6.26841 161.735 0.999568 0.0149578
10e-6 0.36e-6 0.45 0.00844591 10.713 539.182 0.999702 0.0153445
10e-6 0.36e-6 0.50 0.0152631 15.241 1621.26 0.999765 0.0159172
10e-6 0.36e-6 0.55 0.0248133 18.9084 3838.45 0.999786 0.0166915
10e-6 0.36e-6 0.60 0.0306741 20.1641 5142.17 0.999776 0.0176315
10e-6 0.36e-6 0.65 0.0275787 18.6529 3616.28 0.999738 0.0186481
10e-6 0.36e-6 0.70 0.0225791 16.3897 2127.23 0.999685 0.0196285
10e-6 0.36e-6 0.75 0.0191699 14.5439 1373.38 0.99963 0.0204819
10e-6 0.36e-6 0.80 0.0171552 13.2615 1009.42 0.99958 0.0211669
10e-6 0.36e-6 0.90 0.0153161 11.8844 721.537 0.999512 0.0220672
10e-6 0.36e-6 1.00 0.0147097 11.3327 629.504 0.999477 0.0225443
10e-6 0.36e-6 1.10 0.0145561 11.129 598.363 0.99946 0.0228088
10e-6 0.36e-6 1.20 0.0146026 11.0829 591.512 0.999452 0.022978
