device,topology,SUPPLY_V,W_um,L_um,BIAS_V,ID_A,JD_mA_per_um,Pdc_mW,NFmin_dB,NF_dB,Rn_Ohm,GammaOpt_mag,GammaOpt_angle_deg,SOpt_real,SOpt_imag,source_jd_file,source_nf_file
nmos05,CG,5.0,20.0,0.6,2.02,0.00232825,0.116413,11.641250000000001,0.000961701,8.62072,317.204,0.9889198434782265,3.2949969893227813,0.987285,0.05684,nmos05_cg_geom_jd_nom5v.txt,nmos05_cg_geom_nf_nom5v.txt
nmos05,CG,5.0,20.0,0.6,2.105,0.00252165,0.126083,12.60825,0.000961715,8.70878,324.742,0.9889038009566149,3.2949808599729584,0.987269,0.0568388,nmos05_cg_geom_jd_nom5v.txt,nmos05_cg_geom_nf_nom5v.txt
nmos05,CG,5.0,20.0,0.6,2.015,0.00231698,0.115849,11.584900000000001,0.00096173,8.61559,316.769,0.988921822928936,3.2949729766256173,0.987287,0.0568397,nmos05_cg_geom_jd_nom5v.txt,nmos05_cg_geom_nf_nom5v.txt
nmos05,CG,5.0,20.0,0.6,2.11,0.00253313,0.126657,12.665650000000001,0.000961745,8.71401,325.194,0.9889027796191899,3.2949610529100597,0.987268,0.0568384,nmos05_cg_geom_jd_nom5v.txt,nmos05_cg_geom_nf_nom5v.txt
nmos06,CG,5.0,20.0,0.6,2.06,0.00241885,0.120943,12.09425,0.000961588,8.66198,320.717,0.9889098944966422,3.2950649959705993,0.987275,0.0568406,nmos06_cg_geom_jd_nom5v.txt,nmos06_cg_geom_nf_nom5v.txt
nmos06,CG,5.0,20.0,0.6,2.065,0.00243023,0.121511,12.15115,0.000961589,8.66715,321.16,0.9889088961498729,3.295068326154984,0.987274,0.0568406,nmos06_cg_geom_jd_nom5v.txt,nmos06_cg_geom_nf_nom5v.txt
nmos06,CG,5.0,20.0,0.6,2.055,0.00240748,0.120374,12.0374,0.000961591,8.65681,320.275,0.988910898591218,3.2950674500407153,0.987276,0.0568407,nmos06_cg_geom_jd_nom5v.txt,nmos06_cg_geom_nf_nom5v.txt
nmos06,CG,5.0,20.0,0.6,2.07,0.00244162,0.122081,12.2081,0.000961594,8.67234,321.605,0.9889078920552964,3.2950658720807886,0.987273,0.0568405,nmos06_cg_geom_jd_nom5v.txt,nmos06_cg_geom_nf_nom5v.txt
nmos06,CG,5.0,20.0,0.6,2.05,0.00239613,0.119807,11.980649999999999,0.000961596,8.65164,319.834,0.9889118969379881,3.295064119863959,0.987277,0.0568407,nmos06_cg_geom_jd_nom5v.txt,nmos06_cg_geom_nf_nom5v.txt
nmos06,CG,5.0,20.0,0.6,2.075,0.00245302,0.122651,12.2651,0.000961601,8.67753,322.05,0.988907880559706,3.295054303549979,0.987273,0.0568403,nmos06_cg_geom_jd_nom5v.txt,nmos06_cg_geom_nf_nom5v.txt
nmos06,CG,5.0,20.0,0.6,2.045,0.00238479,0.119239,11.92395,0.000961605,8.64647,319.393,0.9889138878837529,3.2950516753003014,0.987279,0.0568406,nmos06_cg_geom_jd_nom5v.txt,nmos06_cg_geom_nf_nom5v.txt
nmos06,CG,5.0,20.0,0.6,2.08,0.00246443,0.123221,12.32215,0.000961612,8.68272,322.496,0.9889068764651401,3.295051849459025,0.987272,0.0568402,nmos06_cg_geom_jd_nom5v.txt,nmos06_cg_geom_nf_nom5v.txt
nmos06,CG,5.0,20.0,0.6,2.04,0.00237346,0.118673,11.8673,0.000961618,8.64132,318.954,0.9889148862305392,3.2950483451495365,0.98728,0.0568406,nmos06_cg_geom_jd_nom5v.txt,nmos06_cg_geom_nf_nom5v.txt
nmos06,CG,5.0,20.0,0.6,2.085,0.00247585,0.123792,12.379249999999999,0.000961626,8.68792,322.943,0.9889058666228043,3.2950436110858075,0.987271,0.05684,nmos06_cg_geom_jd_nom5v.txt,nmos06_cg_geom_nf_nom5v.txt
nmos06,CG,5.0,20.0,0.6,2.035,0.00236214,0.118107,11.8107,0.000961633,8.63616,318.515,0.9889158788295644,3.2950392307867524,0.987281,0.0568405,nmos06_cg_geom_jd_nom5v.txt,nmos06_cg_geom_nf_nom5v.txt
nmos06,CG,5.0,20.0,0.6,2.09,0.00248728,0.124364,12.4364,0.000961644,8.69312,323.391,0.9889058493795504,3.2950262582535625,0.987271,0.0568397,nmos06_cg_geom_jd_nom5v.txt,nmos06_cg_geom_nf_nom5v.txt
nmos06,CG,5.0,20.0,0.6,2.03,0.00235083,0.117542,11.75415,0.000961652,8.63101,318.077,0.9889168656808772,3.295024332229207,0.987282,0.0568403,nmos06_cg_geom_jd_nom5v.txt,nmos06_cg_geom_nf_nom5v.txt
nmos06,CG,5.0,20.0,0.6,2.095,0.00249873,0.124936,12.493649999999999,0.000961664,8.69834,323.84,0.9889048395372781,3.295018019845656,0.98727,0.0568395,nmos06_cg_geom_jd_nom5v.txt,nmos06_cg_geom_nf_nom5v.txt
nmos06,CG,5.0,20.0,0.6,2.025,0.00233954,0.116977,11.697700000000001,0.000961675,8.62587,317.641,0.9889188566267912,3.295011887808178,0.987284,0.0568402,nmos06_cg_geom_jd_nom5v.txt,nmos06_cg_geom_nf_nom5v.txt
nmos06,CG,5.0,20.0,0.6,2.1,0.00251019,0.125509,12.550949999999998,0.000961688,8.70356,324.291,0.988903823947324,3.2950039971314644,0.987269,0.0568392,nmos06_cg_geom_jd_nom5v.txt,nmos06_cg_geom_nf_nom5v.txt
nmos06,CG,5.0,20.0,0.6,2.02,0.00232825,0.116413,11.641250000000001,0.000961701,8.62072,317.204,0.9889198434782265,3.2949969893227813,0.987285,0.05684,nmos06_cg_geom_jd_nom5v.txt,nmos06_cg_geom_nf_nom5v.txt
nmos06,CG,5.0,20.0,0.6,2.105,0.00252165,0.126083,12.60825,0.000961715,8.70878,324.742,0.9889038009566149,3.2949808599729584,0.987269,0.0568388,nmos06_cg_geom_jd_nom5v.txt,nmos06_cg_geom_nf_nom5v.txt
nmos06,CG,5.0,20.0,0.6,2.015,0.00231698,0.115849,11.584900000000001,0.00096173,8.61559,316.769,0.988921822928936,3.2949729766256173,0.987287,0.0568397,nmos06_cg_geom_jd_nom5v.txt,nmos06_cg_geom_nf_nom5v.txt
nmos06,CG,5.0,20.0,0.6,2.11,0.00253313,0.126657,12.665650000000001,0.000961745,8.71401,325.194,0.9889027796191899,3.2949610529100597,0.987268,0.0568384,nmos06_cg_geom_jd_nom5v.txt,nmos06_cg_geom_nf_nom5v.txt
